id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
1324731,L'Homme qui voulait vivre sa vie,2010-11-03,610,1385,154,688,38,91,192,413,909,1701,1703,659,146,41
424552,Le Rite,2011-01-26,500,713,119,468,128,280,614,1038,1474,1264,759,264,42,34
1316257,Colombiana,2011-07-27,505,604,118,434,143,283,561,900,1251,1455,879,298,76,52
447036,Bad Taste,1987-12-11,662,3318,59,1067,60,91,153,260,610,1307,1862,1032,373,153
384533,Alvin et les Chipmunks,2007-12-19,419,196,34,349,440,593,846,1092,1202,1004,516,141,35,33
26926715,Black Mirror : Blanc comme neige,2014-12-16,826,1088,14,294,17,6,19,31,67,209,784,2110,2066,593
442771,Les Sous-doués en vacances,1982-03-10,455,274,24,431,304,491,750,1151,1283,1127,568,166,35,30
440483,Frangins malgré eux,2008-07-25,625,1110,57,707,84,141,259,393,754,1480,1591,838,276,94
380672,À tombeau ouvert,1999-10-22,691,3359,48,1086,18,37,83,210,535,1232,1982,1328,388,99
378425,Lock Out,2012-04-12,464,653,191,483,217,471,759,1132,1403,1197,528,158,39,16
8175058,Le Congrès,2013-07-03,703,5692,135,1148,28,45,114,222,502,1009,1623,1417,732,233
463435,Le Scaphandre et le Papillon,2007-05-23,717,3836,53,882,25,35,62,108,303,824,2026,1868,524,151
25017858,My Beautiful Boy,2018-10-12,682,4497,86,958,11,19,58,131,395,1155,2127,1484,439,108
412809,Le Voleur de bicyclette,1948-11-21,786,3708,53,1466,11,10,19,42,162,439,1428,2243,1121,453
23144241,Les Tuche 3,2018-01-31,392,577,114,649,662,714,938,1023,1094,811,347,140,65,134
394489,À l'aube du 6ème jour,2000-11-13,525,701,48,577,96,221,470,909,1492,1616,843,226,38,18
471215,Fog,1980-02-08,668,1951,80,1352,13,31,76,211,633,1533,2152,1006,191,86
20962533,Men in Black : International,2019-06-14,465,1489,145,884,167,311,752,1205,1592,1255,499,95,26,31
374212,La Maison des 1000 morts,2003-04-11,652,1916,94,903,52,93,149,294,639,1387,1842,1053,297,128
39231524,Papicha,2019-10-09,743,3622,66,825,81,32,33,78,180,527,1546,1977,876,606
407963,L'Arnaque,1973-12-25,770,2986,57,1071,9,11,8,34,117,471,1758,2501,791,240
403341,Royal Affair,2012-03-29,725,3266,130,870,3,12,31,87,242,850,2254,1838,482,144
25217741,Petit Paysan,2017-08-30,702,3110,113,916,16,13,24,86,279,981,2654,1526,294,71
17379169,House of Gucci,2021-11-24,587,4177,119,911,27,60,201,484,969,1783,1786,506,98,34
403105,2 Sœurs,2003-06-13,679,3604,69,1225,23,69,107,206,567,1175,1932,1312,407,155
11281595,Mutafukaz,2018-05-23,652,4012,79,974,18,53,99,234,610,1445,2130,1050,224,94
419039,Le Garçon au pyjama rayé,2009-08-12,719,2821,71,607,28,26,36,105,227,825,1998,1911,590,217
474985,Confessions d'une accro du shopping,2009-02-05,467,479,45,437,282,458,717,1000,1270,1104,732,269,82,54
11899387,À vif !,2015-10-22,539,1067,84,868,69,167,349,773,1503,1827,964,242,53,22
13614461,Pattaya,2016-02-24,426,632,79,526,495,639,902,1082,1199,967,447,121,31,87
450449,Domino,2005-10-11,562,1138,55,533,108,188,364,733,1237,1567,1134,498,96,49
492365,American Pie présente : String Academy,2006-12-01,375,233,28,340,681,804,1108,1071,1047,730,381,102,31,23
445929,Vous allez rencontrer un bel et sombre inconnu,2010-10-22,561,1889,158,684,61,129,286,698,1392,1845,1122,363,72,21
391686,Hellraiser : Le Pacte,1987-09-11,654,1813,79,1129,35,78,132,305,675,1440,1978,989,247,115
377415,Monstres contre Aliens,2009-04-01,544,474,46,573,70,139,361,802,1545,1787,956,262,48,25
422490,[REC]³ Genesis,2012-03-09,401,529,199,611,590,877,1156,1083,994,731,387,133,27,20
412257,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003-05-28,760,2101,59,723,6,10,33,88,203,609,1722,2011,860,458
456936,"Sans Sarah, rien ne va !",2008-04-18,555,637,55,514,126,207,379,723,1292,1652,1162,380,61,22
361577,8MM - Huit millimètres,1999-02-26,617,1229,58,613,70,106,195,416,836,1683,1805,704,144,48
468358,Showgirls,1995-09-22,606,1977,87,998,123,258,343,542,863,1132,1379,907,301,162
486321,Plein soleil,1960-03-10,747,3234,67,1019,6,7,19,54,192,674,1958,2195,711,197
414562,Resident Evil : Retribution,2012-09-12,359,432,169,706,936,1032,1107,990,812,582,325,139,46,46
440654,Mon beau-père et nous,2010-12-22,502,437,82,499,97,228,530,1081,1732,1488,651,161,30,24
390688,Jeu d'enfant,1988-11-09,648,1082,68,985,32,41,126,277,746,1760,2044,756,162,85
1307772,La Dame de Fer,2012-02-15,558,1849,155,718,75,154,298,619,1319,1736,1263,445,105,22
437571,Chicken Little,2005-12-07,475,369,36,575,175,370,731,1120,1543,1303,588,153,35,26
495937,Harold & Kumar chassent le burger,2004-07-30,619,820,32,572,94,115,208,347,751,1579,1811,838,213,92
415615,Série noire,1979-04-25,776,3931,77,1165,14,14,31,58,183,462,1500,2215,1131,441
430342,Huit et demi,1963-02-13,786,6027,67,1621,20,18,46,106,276,506,1099,1747,1384,850
479009,Click,2006-06-23,482,373,55,418,274,461,690,982,1308,1242,761,249,56,35
443241,Fantômas contre Scotland Yard,1967-03-16,596,417,30,640,50,105,202,482,1059,1856,1490,566,154,98
419113,Rebecca,1940-03-21,766,2930,72,1345,11,10,22,53,179,611,1789,2166,900,323
467716,L'Île aux fleurs,,801,1905,42,692,14,18,13,32,95,282,1167,2349,1471,624
496474,Attack the Block,2011-05-13,613,1184,147,639,65,109,203,434,857,1795,1827,646,91,40
362769,Notre jour viendra,2010-09-15,653,2591,108,613,48,83,166,280,632,1307,1866,1212,377,116
395397,Fanfan la Tulipe,2003-05-14,447,345,29,320,269,525,825,1222,1342,1078,577,177,46,26
1375557,L'Aventure intérieure,1987-07-01,680,1266,54,835,14,16,53,189,491,1567,2491,999,189,83
427571,Deep Impact,1998-05-08,502,667,56,607,108,322,599,1111,1533,1396,736,216,45,30
13084069,Unfriended,2015-04-17,500,864,154,686,286,395,602,999,1226,1361,899,246,46,37
378035,Je vous trouve très beau,2005-11-07,570,516,38,330,56,151,259,601,1283,1922,1350,405,47,24
